dataset,dt_mode,lr,eff_bs,phys_bs,accum,seed,exit_code,wall_sec,output_dir
imm_cesnet,learned,1e-4,8,8,1,1,0,60,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_cesnet/learned_lr-1e-4_bs-8_accum-1/seed1
imm_cesnet,learned,1e-4,8,8,1,2,0,48,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_cesnet/learned_lr-1e-4_bs-8_accum-1/seed2
imm_cesnet,learned,1e-4,8,8,1,3,0,25,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_cesnet/learned_lr-1e-4_bs-8_accum-1/seed3
imm_cesnet,concat,5e-4,16,16,1,1,0,44,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_cesnet/concat_lr-5e-4_bs-16_accum-1/seed1
imm_cesnet,concat,5e-4,16,16,1,2,0,32,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_cesnet/concat_lr-5e-4_bs-16_accum-1/seed2
imm_cesnet,concat,5e-4,16,16,1,3,0,19,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_cesnet/concat_lr-5e-4_bs-16_accum-1/seed3
imm_epa_air,replace,5e-4,64,16,4,1,0,32,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_epa_air/replace_lr-5e-4_bs-16_accum-4/seed1
imm_epa_air,replace,5e-4,64,16,4,2,0,21,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_epa_air/replace_lr-5e-4_bs-16_accum-4/seed2
imm_epa_air,replace,5e-4,64,16,4,3,0,37,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_epa_air/replace_lr-5e-4_bs-16_accum-4/seed3
imm_epa_air,learned,2e-3,32,32,1,1,0,37,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_epa_air/learned_lr-2e-3_bs-32_accum-1/seed1
imm_epa_air,learned,2e-3,32,32,1,2,0,36,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_epa_air/learned_lr-2e-3_bs-32_accum-1/seed2
imm_epa_air,learned,2e-3,32,32,1,3,0,30,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_epa_air/learned_lr-2e-3_bs-32_accum-1/seed3
imm_epa_air,concat,2e-3,32,32,1,1,0,37,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_epa_air/concat_lr-2e-3_bs-32_accum-1/seed1
imm_epa_air,concat,2e-3,32,32,1,2,0,23,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_epa_air/concat_lr-2e-3_bs-32_accum-1/seed2
imm_epa_air,concat,2e-3,32,32,1,3,0,20,/home/ubuntu/hongyu/ssm/output/mamba_mv_confirm_imm/imm_epa_air/concat_lr-2e-3_bs-32_accum-1/seed3
