dataset,dt_mode,lr,eff_bs,phys_bs,accum,cell_idx,exit_code,wall_sec,output_dir
imm_fnspid,concat,2e-3,64,16,4,16,0,168,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/concat/lr-2e-3_ebs-64/seed1
imm_fnspid,concat,2e-3,128,32,4,17,0,150,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/concat/lr-2e-3_ebs-128/seed1
imm_fnspid,concat,2e-3,256,32,8,18,0,125,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_fnspid/concat/lr-2e-3_ebs-256/seed1
imm_clustertrace,replace,1e-4,32,32,1,1,0,41,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/replace/lr-1e-4_ebs-32/seed1
imm_clustertrace,replace,1e-4,64,16,4,2,0,72,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/replace/lr-1e-4_ebs-64/seed1
imm_clustertrace,replace,1e-4,128,32,4,3,0,69,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/replace/lr-1e-4_ebs-128/seed1
imm_clustertrace,replace,5e-4,32,32,1,4,0,43,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/replace/lr-5e-4_ebs-32/seed1
imm_clustertrace,replace,5e-4,64,16,4,5,0,73,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/replace/lr-5e-4_ebs-64/seed1
imm_clustertrace,replace,5e-4,128,32,4,6,0,76,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/replace/lr-5e-4_ebs-128/seed1
imm_clustertrace,replace,2e-3,32,32,1,7,0,49,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/replace/lr-2e-3_ebs-32/seed1
imm_clustertrace,replace,2e-3,64,16,4,8,0,56,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/replace/lr-2e-3_ebs-64/seed1
imm_clustertrace,replace,2e-3,128,32,4,9,0,66,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/replace/lr-2e-3_ebs-128/seed1
imm_clustertrace,concat,1e-4,32,32,1,10,0,66,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/concat/lr-1e-4_ebs-32/seed1
imm_clustertrace,concat,1e-4,64,16,4,11,0,115,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/concat/lr-1e-4_ebs-64/seed1
imm_clustertrace,concat,1e-4,128,32,4,12,0,124,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/concat/lr-1e-4_ebs-128/seed1
imm_clustertrace,concat,5e-4,32,32,1,13,0,66,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/concat/lr-5e-4_ebs-32/seed1
imm_clustertrace,concat,5e-4,64,16,4,14,0,55,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/concat/lr-5e-4_ebs-64/seed1
imm_clustertrace,concat,5e-4,128,32,4,15,0,99,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/concat/lr-5e-4_ebs-128/seed1
imm_clustertrace,concat,2e-3,32,32,1,16,0,50,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/concat/lr-2e-3_ebs-32/seed1
imm_clustertrace,concat,2e-3,64,16,4,17,0,55,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/concat/lr-2e-3_ebs-64/seed1
