dataset,dt_mode,lr,eff_bs,phys_bs,accum,cell_idx,exit_code,wall_sec,output_dir
imm_clustertrace,replace,5e-4,128,32,4,6,0,78,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/replace/lr-5e-4_ebs-128/seed1
imm_clustertrace,replace,2e-3,32,32,1,7,0,39,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/replace/lr-2e-3_ebs-32/seed1
imm_clustertrace,replace,2e-3,64,16,4,8,0,42,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/replace/lr-2e-3_ebs-64/seed1
imm_clustertrace,replace,2e-3,128,32,4,9,0,82,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/replace/lr-2e-3_ebs-128/seed1
imm_clustertrace,learned,1e-4,32,32,1,10,0,55,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/learned/lr-1e-4_ebs-32/seed1
imm_clustertrace,learned,1e-4,64,16,4,11,0,77,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/learned/lr-1e-4_ebs-64/seed1
imm_clustertrace,learned,1e-4,128,32,4,12,0,112,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/learned/lr-1e-4_ebs-128/seed1
imm_clustertrace,learned,5e-4,32,32,1,13,0,49,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/learned/lr-5e-4_ebs-32/seed1
imm_clustertrace,learned,5e-4,64,16,4,14,0,56,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/learned/lr-5e-4_ebs-64/seed1
imm_clustertrace,learned,5e-4,128,32,4,15,0,75,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/learned/lr-5e-4_ebs-128/seed1
imm_clustertrace,learned,2e-3,32,32,1,16,0,36,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/learned/lr-2e-3_ebs-32/seed1
imm_clustertrace,learned,2e-3,64,16,4,17,0,69,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/learned/lr-2e-3_ebs-64/seed1
imm_clustertrace,learned,2e-3,128,32,4,18,0,63,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/learned/lr-2e-3_ebs-128/seed1
imm_clustertrace,concat,1e-4,32,32,1,19,0,85,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/concat/lr-1e-4_ebs-32/seed1
imm_clustertrace,concat,1e-4,64,16,4,20,0,89,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/concat/lr-1e-4_ebs-64/seed1
imm_clustertrace,concat,1e-4,128,32,4,21,0,164,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/concat/lr-1e-4_ebs-128/seed1
imm_clustertrace,concat,5e-4,32,32,1,22,0,63,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/concat/lr-5e-4_ebs-32/seed1
imm_clustertrace,concat,5e-4,64,16,4,23,0,53,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/concat/lr-5e-4_ebs-64/seed1
imm_clustertrace,concat,5e-4,128,32,4,24,0,100,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/concat/lr-5e-4_ebs-128/seed1
imm_clustertrace,concat,2e-3,32,32,1,25,0,44,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/concat/lr-2e-3_ebs-32/seed1
imm_clustertrace,concat,2e-3,64,16,4,26,0,67,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/concat/lr-2e-3_ebs-64/seed1
imm_clustertrace,concat,2e-3,128,32,4,27,0,60,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_clustertrace/concat/lr-2e-3_ebs-128/seed1
imm_studentlife,replace,1e-4,64,16,4,1,0,144,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/replace/lr-1e-4_ebs-64/seed1
imm_studentlife,replace,1e-4,128,32,4,2,0,108,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/replace/lr-1e-4_ebs-128/seed1
imm_studentlife,replace,1e-4,256,32,8,3,0,163,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/replace/lr-1e-4_ebs-256/seed1
imm_studentlife,replace,5e-4,64,16,4,4,0,104,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/replace/lr-5e-4_ebs-64/seed1
imm_studentlife,replace,5e-4,128,32,4,5,0,82,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/replace/lr-5e-4_ebs-128/seed1
imm_studentlife,replace,5e-4,256,32,8,6,0,63,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/replace/lr-5e-4_ebs-256/seed1
imm_studentlife,replace,2e-3,64,16,4,7,0,107,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/replace/lr-2e-3_ebs-64/seed1
imm_studentlife,replace,2e-3,128,32,4,8,0,73,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/replace/lr-2e-3_ebs-128/seed1
imm_studentlife,replace,2e-3,256,32,8,9,0,131,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/replace/lr-2e-3_ebs-256/seed1
imm_studentlife,learned,1e-4,64,16,4,10,0,131,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/learned/lr-1e-4_ebs-64/seed1
imm_studentlife,learned,1e-4,128,32,4,11,0,132,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/learned/lr-1e-4_ebs-128/seed1
imm_studentlife,learned,1e-4,256,32,8,12,0,207,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/learned/lr-1e-4_ebs-256/seed1
imm_studentlife,learned,5e-4,64,16,4,13,0,69,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/learned/lr-5e-4_ebs-64/seed1
imm_studentlife,learned,5e-4,128,32,4,14,0,85,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/learned/lr-5e-4_ebs-128/seed1
imm_studentlife,learned,5e-4,256,32,8,15,0,111,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/learned/lr-5e-4_ebs-256/seed1
imm_studentlife,learned,2e-3,64,16,4,16,0,71,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/learned/lr-2e-3_ebs-64/seed1
imm_studentlife,learned,2e-3,128,32,4,17,0,82,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/learned/lr-2e-3_ebs-128/seed1
imm_studentlife,learned,2e-3,256,32,8,18,0,70,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/learned/lr-2e-3_ebs-256/seed1
imm_studentlife,concat,1e-4,64,16,4,19,0,69,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/concat/lr-1e-4_ebs-64/seed1
imm_studentlife,concat,1e-4,128,32,4,20,0,212,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/concat/lr-1e-4_ebs-128/seed1
imm_studentlife,concat,1e-4,256,32,8,21,0,375,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/concat/lr-1e-4_ebs-256/seed1
imm_studentlife,concat,5e-4,64,16,4,22,0,105,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/concat/lr-5e-4_ebs-64/seed1
imm_studentlife,concat,5e-4,128,32,4,23,0,157,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/concat/lr-5e-4_ebs-128/seed1
imm_studentlife,concat,5e-4,256,32,8,24,0,99,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/concat/lr-5e-4_ebs-256/seed1
imm_studentlife,concat,2e-3,64,16,4,25,0,113,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/concat/lr-2e-3_ebs-64/seed1
imm_studentlife,concat,2e-3,128,32,4,26,0,40,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/concat/lr-2e-3_ebs-128/seed1
imm_studentlife,concat,2e-3,256,32,8,27,0,79,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_studentlife/concat/lr-2e-3_ebs-256/seed1
imm_ilinet,replace,1e-4,8,8,1,1,0,40,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/replace/lr-1e-4_ebs-8/seed1
imm_ilinet,replace,1e-4,16,16,1,2,0,31,/home/ubuntu/hongyu/ssm/output/mamba_mv_hpo_imm/imm_ilinet/replace/lr-1e-4_ebs-16/seed1
